"","site","plot","replicate","moistureMass","moistureFraction","moisturePercent"
"1","A",1,2,1.1134,0.74245866787268,74.245866787268
"2","B",1,2,1.0413,0.5202586075772,52.0258607577199
"3","C",1,2,1.0338,0.520262064991768,52.0262064991768
"4","A",2,2,1.30806666666667,0.600932580673743,60.0932580673743
"5","B",2,2,1.22533333333333,0.611636026447624,61.1636026447624
"6","C",2,2,1.24043333333333,0.619457913880311,61.9457913880311
"7","A",3,2,1.30496666666667,0.653300268676614,65.3300268676614
"8","B",3,2,1.28486666666667,0.636897373142915,63.6897373142915
"9","C",3,2,1.04416666666667,0.520007646104227,52.0007646104227
"10","A",4,2,1.01776666666667,0.508791368814748,50.8791368814748
"11","B",4,2,1.0906,0.545565178317759,54.5565178317759
"12","C",4,2,1.4938,0.737242486986557,73.7242486986557
