"","unique.id","meanStandard","site","plot","replicate","target.dry.mass","actual.fresh.mass","standard.co2","time.flushed","time.sampled","irga.integral","times.sampled","incubationTime","dilutionFactor","measuredCO2","concentrationCO2","volumeCO2","molesCO2","CO2C","CO2CperHour"
"1","nsfms-a-1",584.143285714286,"A",1,1,4,6.0517,1976,11:35:00,16:45:00,464.113,1,5.16666666666667,1.0978506134255,1569.96974959422,1723.59225265148,88.0726340036612,3.66127983594536,43.9756321095397,8.51141266636252
"2","nsfms-a-1",584.143285714286,"A",1,2,4,6.365,1976,11:35:00,16:47:00,345.423,1,5.2,1.09845426799252,1168.47332613842,1283.51451213217,65.183284498632,2.70974347338823,32.546728858866,6.25898631901269
"3","nsfms-a-1",584.143285714286,"A",1,3,4,5.745,1976,11:35:00,16:48:00,389.122,1,5.21666666666667,1.09726680284019,1316.29531795403,1444.32715512493,74.2456374091973,3.08647581883272,37.0716610599998,7.1063887015974
"4","nsfms-a-2",584.143285714286,"A",2,1,4,6.8788,1976,11:35:00,16:49:00,831.668,1,5.23333333333333,1.0994605261064,2813.30969334089,3093.12295554081,155.495002722583,6.46410459388323,77.6403602771314,14.8357376325729
"5","nsfms-a-2",584.143285714286,"A",2,2,4,6.3821,1976,11:35:00,16:51:00,374.749,1,5.26666666666667,1.0984874300493,1267.67531547421,1392.52539943221,70.6955902258343,2.93889630885052,35.2990835656036,6.70235763903866
"6","nsfms-a-2",584.143285714286,"A",2,3,4,5.7956,1976,11:35:00,16:52:00,323.325,1,5.28333333333333,1.09736264078638,1093.72172140739,1200.20935648904,61.6360313768808,2.56228011573366,30.775546470077,5.82502456846883
"7","nsfms-a-3",584.143285714286,"A",3,1,4,5.9659,1976,11:35:00,16:53:00,486.558,1,5.3,1.09768658626409,1645.89516221925,1806.67704196503,92.4731383836425,3.84421382147536,46.1728522097405,8.71185890749821
"8","nsfms-a-3",584.143285714286,"A",3,2,4,5.9415,1976,11:35:00,16:54:00,542.447,1,5.31666666666667,1.0976400402277,1834.95265325068,2014.11750413,103.139936210241,4.28764477183171,51.4989013544707,9.6863137343832
"9","nsfms-a-3",584.143285714286,"A",3,3,4,5.8532,1976,11:40:00,16:55:00,429.222,1,5.25,1.09747196706227,1451.94285844251,1593.46658491692,81.7397367131663,3.39801407337218,40.8135470352733,7.77400895909967
"10","nsfms-a-4",584.143285714286,"A",4,1,4,6.0777,1976,11:40:00,16:58:00,624.806,1,5.3,1.09790042743327,2113.55105193124,2320.46860331734,118.511668649204,4.92666521965871,59.1741759533207,11.1649388591171
"11","nsfms-a-4",584.143285714286,"A",4,2,4,5.8413,1976,11:40:00,16:59:00,359.165,1,5.31666666666667,1.09744936043985,1214.95882492627,1333.35578537608,68.4127519851259,2.84399611977382,34.1592373946034,6.42493493315424
"12","nsfms-a-4",584.143285714286,"A",4,3,4,6.2348,1976,11:40:00,17:00:00,612.068,1,5.33333333333333,1.09820250141412,2070.46181575313,2273.7863451425,115.770286520199,4.81270283820968,57.8053737897365,10.8385075855756
"13","nsfms-b-1",584.143285714286,"B",1,1,4,6.8932,1976,11:40:00,17:02:00,738.989,1,5.36666666666667,1.09948902437083,2499.80150369173,2748.50431641476,138.131031729193,5.74226451734599,68.9703391178427,12.8516159846912
"14","nsfms-b-1",584.143285714286,"B",1,2,4,4.0816,1976,11:40:00,17:03:00,720.763,1,5.38333333333333,1.09421802805436,2438.14783603729,2667.86531725373,141.579343802148,5.88561478276704,70.6921191558149,13.1316630010802
"15","nsfms-b-1",584.143285714286,"B",1,3,4,6.2569,1976,11:40:00,17:04:00,520.892,1,5.4,1.09824514521615,1762.03787182352,1935.14953841718,98.4857589736193,4.09416531635579,49.1750196147493,9.10648511384247
"16","nsfms-b-2",553.323428571429,"B",2,1,4,6.2537,1976,11:40:00,17:05:00,454.596,1,5.41666666666667,1.09823896825506,1623.42971509301,1782.91377533835,90.7437143837532,3.77231969351807,45.3093318388455,8.36479972409456
"17","nsfms-b-2",553.323428571429,"B",2,2,4,6.0773,1976,11:44:00,17:28:00,499.323,1,5.73333333333333,1.09789966067978,1783.15646338592,1957.72687609035,99.9863974244996,4.15654856812754,49.9243048517799,8.70772759042673
"18","nsfms-b-2",553.323428571429,"B",2,3,4,6.2025,1976,11:59:00,18:26:00,616.503,1,6.45,1.0981402424064,2201.62361667059,2417.69149209829,123.175337293678,5.1205392437833,61.5027968570812,9.53531734218314
"19","nsfms-b-3",553.323428571429,"B",3,1,4,6.1889,1976,11:44:00,17:30:00,952.738,1,5.76666666666667,1.09811405169826,3402.36865238207,3736.18882623841,190.400292392818,7.91515729241103,95.0689542391488,16.4859458218177
"20","nsfms-b-3",553.323428571429,"B",3,2,4,6.3384,1976,11:44:00,17:31:00,805.495,1,5.78333333333333,1.09840272693637,2876.54206891139,3159.60165263945,160.544415333255,6.67401443459551,80.1615873739267,13.8607932058663
"21","nsfms-b-3",553.323428571429,"B",3,3,4,6.0826,1976,11:44:00,17:33:00,582.248,1,5.81666666666667,1.09790982113834,2079.29393297229,2282.87723004364,116.580604657531,4.84638868728726,58.2099745230073,10.0074454767348
"22","nsfms-b-4",553.323428571429,"B",4,1,4,6.7972,1976,11:44:00,17:37:00,646.904,1,5.88333333333333,1.09929934382994,2310.190094969,2539.59045552183,127.8754902888,5.31592996397209,63.8496347972687,10.8526291440117
"23","nsfms-b-4",553.323428571429,"B",4,2,4,5.9071,1976,11:44:00,17:40:00,566.315,1,5.93333333333333,1.09757449324687,2022.39482772153,2219.72897818155,113.745350056059,4.72852392010308,56.794300804358,9.57207316927383
"24","nsfms-b-4",553.323428571429,"B",4,3,4,6.1718,1976,11:44:00,17:42:00,781.791,1,5.96666666666667,1.09808114056597,2791.89157052037,3065.72348009351,156.285064712903,6.49694837182888,78.0348468940367,13.0784659598944
"25","nsfms-c-1",553.323428571429,"C",1,1,4,5.9348,1976,11:48:00,17:44:00,745.819,1,5.93333333333333,1.09762726690514,2663.43022525704,2923.45363874142,149.72526279887,6.22424992528704,74.7594658526227,12.5999099751611
"26","nsfms-c-1",553.323428571429,"C",1,2,4,6.2453,1976,11:48:00,17:46:00,615.645,1,5.96666666666667,1.09822275742711,2198.55957146221,2414.508154939,122.909813274723,5.10950110750459,61.3702178022376,10.2855113635035
"27","nsfms-c-1",553.323428571429,"C",1,3,4,5.9943,1976,11:48:00,17:51:00,639.398,1,6.05,1.09774081871619,2283.38505611804,2506.56498094734,128.225086195848,5.3304630645167,64.0241918679101,10.5825110525471
"28","nsfms-c-2",553.323428571429,"C",2,1,4,6.911,1976,11:48:00,17:54:00,750.995,1,6.1,1.09952427397042,2681.91448865866,2948.83008099317,148.146274439016,6.15860957844689,73.9710596467256,12.1264032207747
"29","nsfms-c-2",553.323428571429,"C",2,2,4,6.4248,1976,11:48:00,17:55:00,780.474,1,6.11666666666667,1.09857033584885,2787.18836825995,3061.92246179333,155.316629258959,6.45668940557846,77.5512964504028,12.6786860681857
"30","nsfms-c-2",553.323428571429,"C",2,3,4,8.0622,1976,11:48:00,17:57:00,1119.51,1,6.15,1.1018583028777,3997.93619025194,4405.15918560434,216.239573071109,8.9893256580219,107.970790478501,17.5562260940652
"31","nsfms-c-3",553.323428571429,"C",3,1,4,6.2982,1976,11:48:00,18:02:00,584.331,1,6.23333333333333,1.09832493638377,2086.73263480103,2291.91048836778,116.54777377238,4.84502386995033,58.1935817019734,9.33586872224173
"32","nsfms-c-3",553.323428571429,"C",3,2,4,2.9083,1976,11:48:00,18:03:00,1345.48,1,6.25,1.09218000173298,4804.90856290715,5247.82504256276,284.650951611176,11.8332646821183,142.129342096923,22.7406947355077
"33","nsfms-c-3",553.323428571429,"C",3,3,4,6.2894,1976,11:52:00,18:10:00,1020.42,1,6.3,1.09830792401191,3644.07110901813,4002.31217469747,203.559998592418,8.46222128681315,101.639739875913,16.1332920437957
"34","nsfms-c-4",553.323428571429,"C",4,1,4,3.2938,1976,11:52:00,18:11:00,1038.82,1,6.31666666666667,1.092839821599,3709.78023703006,4054.19557240742,218.343567586688,9.07679110948678,109.021338016046,17.2593147254954
"35","nsfms-c-4",553.323428571429,"C",4,2,4,7.4563,1976,11:52:00,18:12:00,1419.92,1,6.33333333333333,1.10061637591888,5070.74483949454,5580.94480845384,277.337797027863,11.5292485059708,138.477803805215,21.8649163902971
"36","nsfms-c-4",553.323428571429,"C",4,3,4,7.6515,1976,11:52:00,18:13:00,1136.72,1,6.35,1.10101316201501,4059.39565183266,4469.44804249427,221.230973931402,9.19682388411281,110.463051672079,17.3957561688313
