"","Site","Quadrat","Date","Species","DBH","SoilGWC","pH","SIR","Lat","Long","Aspect","Elevation","Slope","SoilT1","SoilT2","SoilT3","LitT1","LitT2","LitT3","SoilM1","SoilM2","SoilM3","uniqueQuadrat","meanSoilT","meanLitT","meanSoilM","microcosm"
"1","SCBI",1,"1/15/2020 10:58","RO",75.3,33.8843369,6.63,2.118599854,-78.139824,38.89629,212.5140076,364.2900085,6.428,5.6,5.7,5.9,5.1,4.9,5.4,36.3,36.9,34.6,1,5.73333333333333,5.13333333333333,35.9333333333333,FALSE
"2","SCBI",2,"1/15/2020 8:45","TP",67.2,37.0245475,6.92,2.998722197,-78.139893,38.89587,265.0950012,361.8800049,2.9849999,6,6.3,6.6,4.8,4,3.1,34.9,37.9,32.4,2,6.3,3.96666666666667,35.0666666666667,TRUE
"3","SCBI",3,"1/15/2020 13:52","HI",35.6,30.5236379,6.7,3.225933586,-78.140556,38.895344,301.5960083,352.5799866,18.5919991,6,5.9,5.6,6.2,6.3,6.1,30.4,27.7,31.9,3,5.83333333333333,6.2,30,TRUE
"4","SCBI",4,"1/15/2020 13:43","RO",118,41.6927417,6.77,3.796793695,-78.140961,38.894989,276.3420105,347.4500122,15.198,6.4,6.1,6.1,6,6.1,5.9,13.5,17.8,20.1,4,6.2,6,17.1333333333333,FALSE
"5","SCBI",5,"1/15/2020 13:30","HI",50,37.3176583,7.09,2.456473056,-78.141579,38.894939,260.0329895,337.2000122,7.2719998,5.7,6,5.8,5.7,5.7,6.2,30.5,29.5,26.8,5,5.83333333333333,5.86666666666667,28.9333333333333,FALSE
"6","SCBI",6,"1/15/2020 14:14","TP",60.3,30.7969175,7.13,4.527995588,-78.141441,38.894451,275.4500122,340.7600098,9.302,6.3,6,5.7,6.5,6.5,6.2,29.3,28.5,31,6,6,6.4,29.6,TRUE
"7","SCBI",7,"1/15/2020 15:04","RO",53,32.9517149,6.83,2.741813395,-78.141808,38.894318,267.0910034,335.519989,11.7519999,6.1,6.2,6,6.4,7,6.7,21.7,23.3,33,7,6.1,6.7,26,TRUE
"8","SCBI",8,"1/15/2020 14:55","TP",70.5,32.767419,7.03,NA,-78.14138,38.893997,282.3070068,342.2200012,7.3540001,6,6.2,6.3,6.6,7,6.7,27.7,28.4,26.4,8,6.16666666666667,6.76666666666667,27.5,TRUE
"9","SCBI",9,"1/15/2020 16:23","RO",57.5,31.0461896,6.76,2.438084471,-78.142258,38.89349,206.4629974,327.230011,10.1929998,7,7.2,7.3,9.8,8.9,8.1,32.4,28.3,26.4,9,7.16666666666667,8.93333333333334,29.0333333333333,FALSE
"10","SCBI",10,"1/15/2020 15:18","HI",51,34.1758709,4.68,2.481927718,-78.141991,38.893127,278.7099915,328.4500122,14.2089996,6.6,6.7,6.9,10.1,8.9,9.5,24.7,21.1,23.8,10,6.73333333333333,9.5,23.2,FALSE
"11","SCBI",11,"1/15/2020 15:34","HI",59,31.5951202,5.24,4.80374957,-78.141289,38.893234,180.0019989,334.4899902,10.4350004,6.5,6.6,6.7,8.6,8.2,8.5,25.8,29.6,19.4,11,6.6,8.43333333333333,24.9333333333333,FALSE
"12","SCBI",12,"1/15/2020 15:38","TP",77.8,35.7676878,6.44,4.370206955,-78.140533,38.893082,281.8139954,335.6499939,17.8600006,6.5,6.6,6.8,7,7.1,7.5,27.6,27.3,21.7,12,6.63333333333333,7.2,25.5333333333333,FALSE
"13","SCBI",13,"1/15/2020 15:49","HI",41.3,41.9532387,6.8,2.963226979,-78.139908,38.893185,284.1140137,346.9299927,9.7910004,6.2,6.3,6.7,8.9,9.5,10.4,19.6,28.9,21.4,13,6.4,9.6,23.3,FALSE
"14","SCBI",14,"1/15/2020 8:38","HI",46.5,47.0768667,6.81,3.769937344,-78.140892,38.892635,267.9970093,331.8800049,12.3319998,6.4,6.6,6.7,12,7.8,11.7,23.6,30.4,27.7,14,6.56666666666667,10.5,27.2333333333333,TRUE
"15","SCBI",15,"1/15/2020 8:59","TP",63.9,35.8728284,6.95,2.593799066,-78.141266,38.892303,211.8529968,322.730011,18.2110004,6.3,6,6.3,7.8,7.1,7.8,30.8,31.6,32.3,15,6.2,7.56666666666667,31.5666666666667,FALSE
"16","SCBI",16,"1/15/2020 9:09","TP",83.9,36.1092824,6.61,3.958695292,-78.141594,38.891888,25.302,322.3399963,16.0279999,6.2,5.6,5.7,6.3,6.4,6.9,29,22.4,26.9,16,5.83333333333333,6.53333333333333,26.1,FALSE
"17","SCBI",17,"1/15/2020 9:17","TP",65.4,34.1578446,6.71,2.823314713,-78.141617,38.89146,14.3439999,335.5499878,17.0470009,5.9,6.1,6.2,7.5,7.3,7,31.1,33.8,29.3,17,6.06666666666667,7.26666666666667,31.4,TRUE
"18","SCBI",18,"1/15/2020 9:25","TP",87,35.407922,6.87,2.942338552,-78.142609,38.891151,318.5910034,337.7900085,5.0159998,6.4,6.6,6.8,8.6,8.5,7.3,33.9,31.7,33.8,18,6.6,8.13333333333333,33.1333333333333,FALSE
"19","SCBI",19,"1/15/2020 9:48","RO",53.3,35.3610143,5.41,2.448368053,-78.137611,38.891972,274.7489929,379.25,13.849,6.7,6.5,6.9,8.9,9.9,10.6,21.1,22.1,17.9,19,6.7,9.8,20.3666666666667,FALSE
"20","SCBI",20,"1/15/2020 9:40","RO",57.9,36.7603713,6.75,5.894222784,-78.138039,38.892101,291.9909973,367.8500061,21.9009991,6.5,6.4,6.2,10.2,9.2,8.1,27.9,30.9,25.4,20,6.36666666666667,9.16666666666667,28.0666666666667,FALSE
"21","SCBI",21,"1/15/2020 9:55","TP",113,34.1505078,7.35,2.977252942,-78.137527,38.892567,240.0740051,380.0799866,12.934,7,7.1,7.3,8.9,8.8,7.8,33.1,25,31.5,21,7.13333333333333,8.5,29.8666666666667,TRUE
"22","SCBI",22,"1/15/2020 9:32","HI",28.4,41.1647349,6.93,2.580097631,-78.138275,38.892891,213.9109955,371.3399963,13.0489998,7.2,7.5,7.6,9.5,10,10.6,17.5,13.7,22.2,22,7.43333333333333,10.0333333333333,17.8,FALSE
"23","SCBI",23,"1/15/2020 12:02","HI",33.5,32.2162919,7.05,3.172325377,-78.13831664,38.89336182,238.5079956,375.5799866,7.526,7.2,7.3,7.5,7.7,8,8,25.3,22,29.6,23,7.33333333333333,7.9,25.6333333333333,FALSE
"24","SCBI",24,"1/15/2020 11:48","RO",31.1,35.0339201,6.75,2.136845801,-78.138069,38.893475,297.9110107,380.3699951,11.7810001,7,7.4,7.6,8.1,8.1,8.1,33.3,25.9,35.3,24,7.33333333333333,8.1,31.5,TRUE
"25","SCBI",25,"1/15/2020 12:42","TP",65.4,32.4426944,7.1,3.849560929,-78.137772,38.893536,273.3720093,388.0299988,28.7180004,6.9,7,7.4,7.8,7.9,8.3,27.3,31.7,34.3,25,7.1,8,31.1,FALSE
"26","SCBI",26,"1/15/2020 10:17","TP",79.3,36.0053321,6.76,2.353797382,-78.136505,38.893047,267.3649902,405.2099915,10.0979996,6.8,6.9,7.2,8.9,8.8,9.3,30.4,25,27.5,26,6.96666666666667,9,27.6333333333333,TRUE
"27","SCBI",27,"1/15/2020 10:11","RO",119.8,33.3169606,4.66,3.087170242,-78.137184,38.893028,243.9579926,391.9200134,11.184,7.5,7,7,9.3,9.8,10.4,28.2,21.4,24.5,27,7.16666666666667,9.83333333333333,24.7,TRUE
"28","SCBI",28,"1/15/2020 10:25","HI",22.6,42.2266326,6.64,5.128654585,-78.135719,38.893124,272.8900146,418,7.6900001,6.8,6.8,7.5,7.4,8,8.1,33.8,33.9,31,28,7.03333333333333,7.83333333333333,32.9,TRUE
"29","SCBI",29,"1/15/2020 11:26","HI",65.2,37.6937101,5.2,7.910764056,-78.135345,38.893311,319.4089966,422.4299927,8.868,6.7,7,7.1,7.6,7.8,7.9,28.1,22.2,23.1,29,6.93333333333333,7.76666666666667,24.4666666666667,TRUE
"30","SCBI",30,"1/15/2020 11:31","RO",60.5,50.4016536,6.25,3.510474055,-78.135475,38.893589,2.1210001,416.9599915,8.5679998,6.7,6.5,6.6,6.7,7.3,7.8,31.7,28.5,26.6,30,6.6,7.26666666666667,28.9333333333333,TRUE
"31","SCBI",31,"1/15/2020 11:39","TP",92.5,36.3336012,6.96,2.792144256,-78.135841,38.893951,5.5310001,409.7200012,13.7679996,6.2,6.4,6.6,7,7.2,7.3,34.2,32.9,29.1,31,6.4,7.16666666666667,32.0666666666667,TRUE
