plotID,Site,Plot,Species,DBH,Lat,Long,Elevation,Slope,Aspect
nsfms-SCBI-1,SCBI,1,RO,75.3,-78.139824,38.89629,364.2900085,6.428,212.5140076
nsfms-SCBI-2,SCBI,2,TP,67.2,-78.139893,38.89587,361.8800049,2.9849999,265.0950012
nsfms-SCBI-3,SCBI,3,HI,35.6,-78.140556,38.895344,352.5799866,18.5919991,301.5960083
nsfms-SCBI-4,SCBI,4,RO,118,-78.140961,38.894989,347.4500122,15.198,276.3420105
nsfms-SCBI-5,SCBI,5,HI,50,-78.141579,38.894939,337.2000122,7.2719998,260.0329895
nsfms-SCBI-6,SCBI,6,TP,60.3,-78.141441,38.894451,340.7600098,9.302,275.4500122
nsfms-SCBI-7,SCBI,7,RO,53,-78.141808,38.894318,335.519989,11.7519999,267.0910034
nsfms-SCBI-8,SCBI,8,TP,70.5,-78.14138,38.893997,342.2200012,7.3540001,282.3070068
nsfms-SCBI-9,SCBI,9,RO,57.5,-78.142258,38.89349,327.230011,10.1929998,206.4629974
nsfms-SCBI-10,SCBI,10,HI,51,-78.141991,38.893127,328.4500122,14.2089996,278.7099915
nsfms-SCBI-11,SCBI,11,HI,59,-78.141289,38.893234,334.4899902,10.4350004,180.0019989
nsfms-SCBI-12,SCBI,12,TP,77.8,-78.140533,38.893082,335.6499939,17.8600006,281.8139954
nsfms-SCBI-13,SCBI,13,HI,41.3,-78.139908,38.893185,346.9299927,9.7910004,284.1140137
nsfms-SCBI-14,SCBI,14,HI,46.5,-78.140892,38.892635,331.8800049,12.3319998,267.9970093
nsfms-SCBI-15,SCBI,15,TP,63.9,-78.141266,38.892303,322.730011,18.2110004,211.8529968
nsfms-SCBI-16,SCBI,16,TP,83.9,-78.141594,38.891888,322.3399963,16.0279999,25.302
nsfms-SCBI-17,SCBI,17,TP,65.4,-78.141617,38.89146,335.5499878,17.0470009,14.3439999
nsfms-SCBI-18,SCBI,18,TP,87,-78.142609,38.891151,337.7900085,5.0159998,318.5910034
nsfms-SCBI-19,SCBI,19,RO,53.3,-78.137611,38.891972,379.25,13.849,274.7489929
nsfms-SCBI-20,SCBI,20,RO,57.9,-78.138039,38.892101,367.8500061,21.9009991,291.9909973
nsfms-SCBI-21,SCBI,21,TP,113,-78.137527,38.892567,380.0799866,12.934,240.0740051
nsfms-SCBI-22,SCBI,22,HI,28.4,-78.138275,38.892891,371.3399963,13.0489998,213.9109955
nsfms-SCBI-23,SCBI,23,HI,33.5,-78.13831664,38.89336182,375.5799866,7.526,238.5079956
nsfms-SCBI-24,SCBI,24,RO,31.1,-78.138069,38.893475,380.3699951,11.7810001,297.9110107
nsfms-SCBI-25,SCBI,25,TP,65.4,-78.137772,38.893536,388.0299988,28.7180004,273.3720093
nsfms-SCBI-26,SCBI,26,TP,79.3,-78.136505,38.893047,405.2099915,10.0979996,267.3649902
nsfms-SCBI-27,SCBI,27,RO,119.8,-78.137184,38.893028,391.9200134,11.184,243.9579926
nsfms-SCBI-28,SCBI,28,HI,22.6,-78.135719,38.893124,418,7.6900001,272.8900146
nsfms-SCBI-29,SCBI,29,HI,65.2,-78.135345,38.893311,422.4299927,8.868,319.4089966
nsfms-SCBI-30,SCBI,30,RO,60.5,-78.135475,38.893589,416.9599915,8.5679998,2.1210001
nsfms-SCBI-31,SCBI,31,TP,92.5,-78.135841,38.893951,409.7200012,13.7679996,5.5310001
nsfms-SCBI-32,SCBI,32,HI,77,-78.139809,38.896564,367.4599915,10.4709997,237.647995
nsfms-SCBI-33,SCBI,33,TP,83.2,-78.139648,38.896042,363.769989,3.286,219.7109985
nsfms-SCBI-34,SCBI,34,HI,57.5,-78.140114,38.896278,363.2399902,10.2840004,234.1569977
nsfms-SCBI-35,SCBI,35,RO,118.2,-78.140694,38.896008,350.5299988,8.3559999,231.529007
