unique.id,site,plot,sampling.period,latitude,longitude,species,dbh,elevation,slope,aspect,notes
harv-1-prelim-1,harv,1,prelim-1,-72.171021,42.536636,RM,28.8,339.6900024,7.8800001,351.2909851,
harv-2-prelim-1,harv,2,prelim-1,-72.170662,42.536884,WP,73.8,338.25,3.7309999,85.5910034,
harv-3-prelim-1,harv,3,prelim-1,-72.17054,42.537174,RO,49.8,337.6700134,6.2389998,84.8970032,
harv-4-prelim-1,harv,4,prelim-1,-72.170494,42.537727,WP,45.5,337.3399963,1.0470001,69.0670013,
harv-5-prelim-1,harv,5,prelim-1,-72.170799,42.53804,RM,26.5,338.2000122,3.1459999,40.6879997,
harv-6-prelim-1,harv,6,prelim-1,-72.171196,42.538509,RO,21.7,339.3999939,5.7020001,58.6599998,
harv-7-prelim-1,harv,7,prelim-1,-72.171036,42.539524,WP,42.4,340.7200012,8.1429996,151.9190063,
harv-8-prelim-1,harv,8,prelim-1,-72.170692,42.539921,RM,26.8,340.1700134,1.294,167.6040039,
harv-9-prelim-1,harv,9,prelim-1,-72.170898,42.540878,WP,41.6,348.0100098,8.1239996,39.9440002,
harv-10-prelim-1,harv,10,prelim-1,-72.170967,42.540401,RO,41.5,344.8800049,7.7480001,151.2680054,
harv-11-prelim-1,harv,11,prelim-1,-72.170952,42.541584,WP,79.6,352.6700134,9.2519999,128.423996,
harv-12-prelim-1,harv,12,prelim-1,-72.171684,42.541607,RM,32.6,360.5400085,9.1359997,173.2559967,
harv-13-prelim-1,harv,13,prelim-1,-72.172249,42.541656,RO,59.4,359.5299988,14.1719999,200.4069977,
harv-14-prelim-1,harv,14,prelim-1,-72.174568,42.542469,WP,86.8,370.6400146,13.1070004,165.6360016,
harv-15-prelim-1,harv,15,prelim-1,-72.174629,42.542515,RM,30,373.7999878,8.5229998,228.9779968,
harv-16-prelim-1,harv,16,prelim-1,-72.175072,42.542713,WP,99.6,373.3299866,11.5769997,217.0619965,
harv-17-prelim-1,harv,17,prelim-1,-72.175529,42.543041,WP,76.5,373.6199951,15.743,233.6109924,
harv-18-prelim-1,harv,18,prelim-1,-72.176186,42.543297,RO,46.5,361.9200134,11.1610003,251.9989929,
harv-19-prelim-1,harv,19,prelim-1,-72.176102,42.543907,RM,56.5,369.3500061,13.6339998,246.3670044,
harv-20-prelim-1,harv,20,prelim-1,-72.1763,42.544144,WP,90.2,368.0499878,9.059,208.1719971,
harv-21-prelim-1,harv,21,prelim-1,-72.177208,42.544315,RO,46.1,370.3399963,7.362,85.9329987,
harv-22-prelim-1,harv,22,prelim-1,-72.177483,42.543961,RM,24.1,375.3500061,17.9729996,94.3450012,
harv-23-prelim-1,harv,23,prelim-1,-72.177711,42.543594,RO,29.3,376.1600037,11.5749998,117.4169998,
harv-24-prelim-1,harv,24,prelim-1,-72.177643,42.543083,RM,30.2,368.7099915,18.6189995,123.5339966,
harv-25-prelim-1,harv,25,prelim-1,-72.17746,42.542763,RO,43.6,360.7600098,15.7720003,82.6829987,
harv-26-prelim-1,harv,26,prelim-1,-72.177467,42.542126,RM,19.8,356.5799866,7.494,127.5400009,
harv-27-prelim-1,harv,27,prelim-1,-72.178078,42.541801,RO,35.5,363.4299927,9.177,77.5910034,
harv-28-prelim-1,harv,28,prelim-1,-72.17852,42.541233,WP,42,358.4100037,6.388,185.0529938,
harv-29-prelim-1,harv,29,prelim-1,-72.179253,42.541321,RM,32.2,367.4400024,2.5969999,31.9829998,
harv-30-prelim-1,harv,30,prelim-1,-72.179939,42.541164,RO,23.6,370.4599915,12.1520004,149.1490021,
harv-31-prelim-1,harv,31,prelim-1,-72.181335,42.541046,WP,64.7,374.9100037,10.2220001,166.0140076,
harv-32-prelim-1,harv,32,prelim-1,-72.182236,42.540459,RO,31.2,378.6600037,13.2080002,115.5940018,
harv-33-prelim-1,harv,33,prelim-1,-72.181526,42.539955,RM,17.7,366.019989,9.8009996,127.0250015,
harv-34-prelim-1,harv,34,prelim-1,-72.181541,42.539688,RM,26.2,364.2999878,7.7610002,154.0099945,
harv-35-prelim-1,harv,35,prelim-1,-72.18148,42.539303,WP,68.1,361.2099915,7.5560002,108.0559998,
harv-36-prelim-1,harv,36,prelim-1,-72.181564,42.538696,RM,23.5,357.9500122,3.1600001,20.1650009,
harv-37-prelim-1,harv,37,prelim-1,-72.18161,42.538429,RM,44.2,357.6700134,1.531,47.1049995,
harv-38-prelim-1,harv,38,prelim-1,-72.181679,42.53788,WP,45.5,357.5,1.466,304.3940125,
harv-39-prelim-1,harv,39,prelim-1,-72.182007,42.537407,RM,30.1,357.4100037,1.952,160.227005,
harv-40-prelim-1,harv,40,prelim-1,-72.184265,42.536762,WP,49.9,357.6499939,5.7930002,132.3269958,
harv-41-prelim-1,harv,41,prelim-1,-72.185211,42.535995,RO,27.4,358.7799988,5.125,153.5119934,
harv-42-prelim-1,harv,42,prelim-1,-72.185295,42.534893,RO,37.5,357.519989,2.605,228.970993,
harv-43-prelim-1,harv,43,prelim-1,-72.184715,42.534431,WP,45.8,356.9100037,6.2319999,225.6199951,
harv-44-prelim-1,harv,44,prelim-1,-72.182251,42.53487,WP,67.5,362.9200134,3.0050001,222.2189941,
harv-45-prelim-1,harv,45,prelim-1,-72.180862,42.534264,RO,39.3,363.9700012,3.4319999,334.9179993,
