unique.id,site,plot,replicate,target.dry.mass,actual.fresh.mass,standard.co2,time.flushed,time.sampled,irga.integral,times.sampled,number.stds,std.value.1,std.value.2,std.value.3,std.value.4
nsfms-a-1,A,1,1,4,6.0517,1976,11:35:00,16:45:00,464.113,1,3,618.47,621.177,624.641,
nsfms-a-1,A,1,2,4,6.365,1976,11:35:00,16:47:00,345.423,1,,,,,
nsfms-a-1,A,1,3,4,5.745,1976,11:35:00,16:48:00,389.122,1,,,,,
nsfms-a-2,A,2,1,4,6.8788,1976,11:35:00,16:49:00,831.668,1,,,,,
nsfms-a-2,A,2,2,4,6.3821,1976,11:35:00,16:51:00,374.749,1,,,,,
nsfms-a-2,A,2,3,4,5.7956,1976,11:35:00,16:52:00,323.325,1,,,,,
nsfms-a-3,A,3,1,4,5.9659,1976,11:35:00,16:53:00,486.558,1,,,,,
nsfms-a-3,A,3,2,4,5.9415,1976,11:35:00,16:54:00,542.447,1,,,,,
nsfms-a-3,A,3,3,4,5.8532,1976,11:40:00,16:55:00,429.222,1,,,,,
nsfms-a-4,A,4,1,4,6.0777,1976,11:40:00,16:58:00,624.806,1,,,,,
nsfms-a-4,A,4,2,4,5.8413,1976,11:40:00,16:59:00,359.165,1,,,,,
nsfms-a-4,A,4,3,4,6.2348,1976,11:40:00,17:00:00,612.068,1,,,,,
nsfms-b-1,B,1,1,4,6.8932,1976,11:40:00,17:02:00,738.989,1,,,,,
nsfms-b-1,B,1,2,4,4.0816,1976,11:40:00,17:03:00,720.763,1,,,,,
nsfms-b-1,B,1,3,4,6.2569,1976,11:40:00,17:04:00,520.892,1,4,534.436,564.283,563.756,562.24
nsfms-b-2,B,2,1,4,6.2537,1976,11:40:00,17:05:00,454.596,1,,,,,
nsfms-b-2,B,2,2,4,6.0773,1976,11:44:00,17:28:00,499.323,1,,,,,
nsfms-b-2,B,2,3,4,6.2025,1976,11:59:00,18:26:00,616.503,1,,,,,
nsfms-b-3,B,3,1,4,6.1889,1976,11:44:00,17:30:00,952.738,1,,,,,
nsfms-b-3,B,3,2,4,6.3384,1976,11:44:00,17:31:00,805.495,1,,,,,
nsfms-b-3,B,3,3,4,6.0826,1976,11:44:00,17:33:00,582.248,1,,,,,
nsfms-b-4,B,4,1,4,6.7972,1976,11:44:00,17:37:00,646.904,1,,,,,
nsfms-b-4,B,4,2,4,5.9071,1976,11:44:00,17:40:00,566.315,1,,,,,
nsfms-b-4,B,4,3,4,6.1718,1976,11:44:00,17:42:00,781.791,1,,,,,
nsfms-c-1,C,1,1,4,5.9348,1976,11:48:00,17:44:00,745.819,1,,,,,
nsfms-c-1,C,1,2,4,6.2453,1976,11:48:00,17:46:00,615.645,1,,,,,
nsfms-c-1,C,1,3,4,5.9943,1976,11:48:00,17:51:00,639.398,1,,,,,
nsfms-c-2,C,2,1,4,6.911,1976,11:48:00,17:54:00,750.995,1,,,,,
nsfms-c-2,C,2,2,4,6.4248,1976,11:48:00,17:55:00,780.474,1,,,,,
nsfms-c-2,C,2,3,4,8.0622,1976,11:48:00,17:57:00,1119.51,1,,,,,
nsfms-c-3,C,3,1,4,6.2982,1976,11:48:00,18:02:00,584.331,1,,,,,
nsfms-c-3,C,3,2,4,2.9083,1976,11:48:00,18:03:00,1345.48,1,,,,,
nsfms-c-3,C,3,3,4,6.2894,1976,11:52:00,18:10:00,1020.42,1,,,,,
nsfms-c-4,C,4,1,4,3.2938,1976,11:52:00,18:11:00,1038.82,1,,,,,
nsfms-c-4,C,4,2,4,7.4563,1976,11:52:00,18:12:00,1419.92,1,,,,,
nsfms-c-4,C,4,3,4,7.6515,1976,11:52:00,18:13:00,1136.72,1,3,546.024,549.423,553.102,
